Customer_ID;Target_Churn
1;TRUE
2;FALSE
3;TRUE
4;TRUE
5;FALSE
6;FALSE
7;FALSE
8;FALSE
9;TRUE
10;FALSE
11;FALSE
12;TRUE
13;FALSE
14;TRUE
15;TRUE
16;FALSE
17;TRUE
18;FALSE
19;FALSE
20;TRUE
21;TRUE
22;FALSE
23;TRUE
24;TRUE
25;TRUE
26;FALSE
27;TRUE
28;FALSE
29;TRUE
30;FALSE
31;TRUE
32;TRUE
33;TRUE
34;TRUE
35;TRUE
36;TRUE
37;TRUE
38;FALSE
39;FALSE
40;FALSE
41;FALSE
42;TRUE
43;FALSE
44;TRUE
45;TRUE
46;TRUE
47;FALSE
48;FALSE
49;TRUE
50;TRUE
51;FALSE
52;TRUE
53;FALSE
54;TRUE
55;FALSE
56;FALSE
57;TRUE
58;FALSE
59;FALSE
60;TRUE
61;TRUE
62;FALSE
63;FALSE
64;FALSE
65;FALSE
66;FALSE
67;TRUE
68;TRUE
69;TRUE
70;FALSE
71;FALSE
72;TRUE
73;TRUE
74;FALSE
75;FALSE
76;TRUE
77;TRUE
78;TRUE
79;FALSE
80;FALSE
81;TRUE
82;FALSE
83;TRUE
84;TRUE
85;TRUE
86;TRUE
87;TRUE
88;FALSE
89;TRUE
90;FALSE
91;FALSE
92;FALSE
93;TRUE
94;FALSE
95;TRUE
96;TRUE
97;FALSE
98;FALSE
99;TRUE
100;FALSE
101;TRUE
102;TRUE
103;FALSE
104;TRUE
105;TRUE
106;TRUE
107;TRUE
108;FALSE
109;FALSE
110;TRUE
111;FALSE
112;FALSE
113;FALSE
114;FALSE
115;FALSE
116;TRUE
117;TRUE
118;FALSE
119;FALSE
120;FALSE
121;FALSE
122;TRUE
123;FALSE
124;FALSE
125;FALSE
126;FALSE
127;TRUE
128;TRUE
129;FALSE
130;FALSE
131;FALSE
132;FALSE
133;TRUE
134;TRUE
135;TRUE
136;FALSE
137;TRUE
138;TRUE
139;FALSE
140;TRUE
141;FALSE
142;FALSE
143;TRUE
144;TRUE
145;FALSE
146;TRUE
147;TRUE
148;FALSE
149;TRUE
150;FALSE
151;FALSE
152;TRUE
153;TRUE
154;FALSE
155;TRUE
156;TRUE
157;FALSE
158;FALSE
159;FALSE
160;TRUE
161;TRUE
162;FALSE
163;FALSE
164;TRUE
165;TRUE
166;TRUE
167;FALSE
168;TRUE
169;TRUE
170;TRUE
171;FALSE
172;TRUE
173;FALSE
174;FALSE
175;FALSE
176;TRUE
177;FALSE
178;FALSE
179;TRUE
180;TRUE
181;TRUE
182;FALSE
183;TRUE
184;TRUE
185;TRUE
186;FALSE
187;FALSE
188;FALSE
189;FALSE
190;TRUE
191;TRUE
192;FALSE
193;FALSE
194;FALSE
195;FALSE
196;FALSE
197;FALSE
198;FALSE
199;FALSE
200;FALSE
201;TRUE
202;FALSE
203;TRUE
204;FALSE
205;FALSE
206;FALSE
207;FALSE
208;TRUE
209;FALSE
210;FALSE
211;FALSE
212;FALSE
213;TRUE
214;FALSE
215;FALSE
216;FALSE
217;FALSE
218;TRUE
219;TRUE
220;FALSE
221;TRUE
222;TRUE
223;TRUE
224;TRUE
225;FALSE
226;TRUE
227;FALSE
228;TRUE
229;FALSE
230;FALSE
231;FALSE
232;FALSE
233;TRUE
234;TRUE
235;FALSE
236;TRUE
237;TRUE
238;TRUE
239;FALSE
240;TRUE
241;TRUE
242;TRUE
243;FALSE
244;TRUE
245;TRUE
246;FALSE
247;TRUE
248;FALSE
249;TRUE
250;FALSE
251;TRUE
252;TRUE
253;FALSE
254;TRUE
255;TRUE
256;FALSE
257;FALSE
258;TRUE
259;TRUE
260;TRUE
261;FALSE
262;TRUE
263;TRUE
264;FALSE
265;TRUE
266;FALSE
267;TRUE
268;FALSE
269;FALSE
270;FALSE
271;TRUE
272;TRUE
273;FALSE
274;TRUE
275;FALSE
276;FALSE
277;FALSE
278;TRUE
279;FALSE
280;TRUE
281;TRUE
282;TRUE
283;FALSE
284;TRUE
285;TRUE
286;TRUE
287;TRUE
288;FALSE
289;FALSE
290;FALSE
291;TRUE
292;TRUE
293;TRUE
294;FALSE
295;TRUE
296;FALSE
297;FALSE
298;TRUE
299;TRUE
300;TRUE
301;FALSE
302;FALSE
303;FALSE
304;FALSE
305;FALSE
306;TRUE
307;TRUE
308;TRUE
309;FALSE
310;TRUE
311;FALSE
312;TRUE
313;FALSE
314;TRUE
315;FALSE
316;TRUE
317;FALSE
318;TRUE
319;FALSE
320;TRUE
321;TRUE
322;TRUE
323;FALSE
324;TRUE
325;FALSE
326;TRUE
327;TRUE
328;FALSE
329;TRUE
330;TRUE
331;FALSE
332;FALSE
333;FALSE
